Full Name,Potential,Preferred Foot,Attacking Work Rate,Defensive Work Rate,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling, GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes
Kyle McAllister,69,Left,Medium,Low,55,58,42,59,51,66,66,65,55,64,86,83,78,56,75,72,46,61,60,68,58,40,58,62,60,42,41,39,15,8,7,13,6
Thierno Ballo,74,Right,Medium,Medium,55,53,41,62,49,75,52,40,51,68,82,75,81,45,83,50,55,49,37,50,55,27,58,60,40,42,43,38,14,12,12,6,8
Jordan Tunnicliffe,64,Right,Medium,High,28,24,64,57,24,45,28,22,56,54,51,55,46,60,56,31,73,75,82,22,66,62,25,45,37,64,64,59,6,14,11,6,11
Amir Saipi,76,Right,Medium,Medium,14,10,17,18,12,14,14,11,26,18,31,25,26,60,24,47,32,24,60,11,25,8,8,35,17,9,13,12,65,62,62,62,65
Juriën Gaari,64,Right,Medium,Medium,57,28,59,65,32,62,35,35,41,61,77,78,66,59,64,56,81,74,74,50,64,65,53,41,40,60,61,62,8,13,12,13,11
Ben Heneghan,64,Right,Medium,Medium,20,14,65,56,11,37,19,26,52,45,34,51,43,61,36,48,69,72,82,25,64,62,28,35,24,64,65,64,11,12,10,16,10
Nicolás Delgadillo,69,Left,High,Medium,58,58,46,68,44,70,56,45,61,68,77,70,74,52,69,64,56,69,66,54,38,35,52,50,51,27,30,26,8,15,9,9,9
Romario Benzar,64,Right,High,Medium,65,49,49,61,49,57,66,68,59,61,67,68,68,64,65,60,54,60,60,56,67,65,52,60,59,58,62,62,9,10,6,6,7
Martin Raynov,64,Right,High,High,48,38,63,64,39,47,44,46,62,49,67,72,63,78,70,62,73,74,67,52,77,63,56,53,47,57,65,62,14,14,8,9,8
Richmond Tachie,69,Right,Medium,Low,53,63,55,61,62,67,59,38,49,63,85,82,83,63,77,61,77,66,61,57,47,25,62,57,56,25,25,21,5,12,7,13,14
Gonzalo Nápoli,72,Left,Medium,Medium,64,60,41,62,60,65,64,63,64,62,63,64,65,64,56,53,47,68,57,63,45,66,58,64,53,60,69,65,11,6,9,7,6
Kelyn Rowe,64,Right,Medium,Medium,67,57,52,64,50,67,67,66,65,64,57,58,68,64,75,70,65,69,59,64,62,61,64,65,64,53,60,56,9,16,15,11,13
Silvan Sidler,71,Right,Medium,Medium,65,57,56,64,52,62,50,48,63,54,67,63,62,58,62,61,73,71,62,72,52,59,60,58,49,59,62,61,6,8,6,9,10
Bozhidar Chorbadzhiyski,66,Right,Medium,High,31,24,64,51,27,43,23,30,48,60,49,52,50,57,55,35,68,66,78,26,64,61,35,31,35,65,62,66,14,7,6,5,13
Ivan Prtajin,67,Right,Medium,Medium,32,68,66,57,53,59,41,49,50,57,60,64,56,60,51,65,67,58,79,59,58,23,65,60,62,21,23,21,10,6,11,14,15
Mateusz Grzybek,66,Right,High,High,63,55,42,61,30,61,62,42,61,58,74,75,72,60,70,41,55,81,58,32,58,60,55,59,42,56,60,57,11,7,13,15,8
Cristian Volpato,82,Left,Medium,Medium,55,59,49,61,54,70,59,50,60,69,62,65,55,65,55,66,52,68,58,50,43,28,60,69,57,45,36,42,11,8,8,13,8
Peter Nivaldo Abradanel Espín,64,Right,Medium,Medium,11,15,11,26,15,15,12,14,23,16,60,48,35,58,50,43,56,32,54,19,25,29,11,47,21,24,15,19,61,66,57,59,68
Jacek Podgórski,65,Right,Medium,High,62,55,54,62,59,58,59,51,60,59,75,79,68,59,70,64,67,82,71,60,70,56,62,58,50,65,62,60,11,8,6,8,12
Pedro Henrique Rodrigues Bicalho,77,Right,Medium,Medium,56,58,46,67,52,69,50,51,63,70,68,69,68,57,69,65,57,64,70,62,62,58,60,61,68,57,61,60,13,7,10,11,12
Hakeem Odoffin,68,Right,Medium,High,54,43,58,62,34,58,41,36,59,61,66,75,64,61,41,56,56,70,75,49,66,63,58,57,45,62,64,63,13,12,5,8,11
Daniel Bielica,69,Right,Medium,Medium,11,9,11,30,5,6,14,14,28,13,42,33,32,58,33,43,58,26,54,7,25,11,7,46,12,20,13,14,62,62,57,63,67
Eddy Sylvestre,73,Left,Medium,Medium,62,61,61,58,61,71,63,54,47,68,73,62,73,55,79,65,47,47,50,59,41,21,62,64,61,21,28,24,14,10,7,9,12
Petar Petkovski,65,Right,Medium,Medium,54,61,56,58,63,65,70,50,46,66,80,77,76,62,80,70,78,67,44,62,49,44,62,57,60,36,25,21,13,7,10,7,12
Agustín Lagos,77,Right,Medium,Medium,58,28,60,49,32,58,42,36,41,62,63,71,52,62,64,35,62,63,63,25,60,60,51,39,42,62,66,63,6,8,10,13,7
Philipp Riese,64,Left,High,High,59,49,41,62,43,53,45,51,67,57,49,34,70,58,78,65,78,79,63,61,74,60,49,55,61,62,65,63,8,7,9,12,12
Francesco Di Tacchio,64,Left,Medium,High,35,34,56,65,31,55,47,52,64,65,47,51,49,65,61,71,80,90,91,66,70,65,59,62,53,60,66,64,15,5,7,15,7
Mihai Popescu,65,Right,Medium,Medium,23,15,68,58,26,54,21,25,55,59,54,51,36,53,49,44,78,42,80,32,80,60,40,45,38,56,62,65,14,12,7,14,10
Luca Martínez Dupuy,77,Right,Medium,Medium,35,68,57,56,59,64,47,39,48,66,71,69,68,58,71,67,65,58,57,58,40,25,64,54,60,18,21,23,9,5,6,8,13
Pablo Rodríguez Delgado,77,Right,Medium,Medium,36,67,59,57,62,64,59,48,45,62,67,70,62,58,65,64,59,55,52,66,32,11,70,49,67,12,12,11,5,10,9,15,9
Rory McKenzie,64,Right,High,High,60,57,60,59,49,64,57,47,54,65,80,78,86,57,82,58,77,76,58,55,61,45,55,58,63,54,49,42,15,11,15,12,7
Haris Tabakovic,64,Right,Medium,Low,37,66,73,63,47,60,35,42,40,63,38,41,51,65,55,65,70,59,91,58,30,20,68,48,56,32,18,17,11,16,6,9,9
Julián Figueroa,64,Left,Medium,High,60,55,45,65,33,61,37,39,61,61,67,68,72,60,53,50,80,71,70,38,62,63,40,50,44,61,67,63,10,13,7,8,14
Jeff Hardeveld,65,Left,Medium,Medium,67,39,61,64,32,66,66,58,60,63,53,49,60,61,58,59,70,52,70,36,62,67,48,45,64,64,64,68,13,6,12,14,6
Niklas Vesterlund,71,Right,High,Medium,56,53,56,60,45,59,48,35,54,63,73,72,69,55,71,58,72,78,70,50,62,60,51,50,40,58,58,59,9,8,13,7,11
Adam Ståhl,64,Right,High,High,60,59,50,62,52,64,56,48,53,64,73,77,67,60,68,65,56,74,72,52,65,57,62,55,56,57,57,57,11,14,13,6,13
Luís Miguel Castelo Santos,73,Right,Medium,Medium,62,59,45,55,59,67,60,45,41,65,82,79,78,60,76,63,71,55,43,55,46,40,62,52,53,44,48,47,6,15,8,8,15
Aaron Hayden,68,Right,Medium,Medium,26,26,64,54,24,49,38,26,52,52,67,67,58,59,55,41,72,73,82,27,66,62,33,43,42,63,63,62,8,10,13,14,8
Luke Hemmerich,68,Right,High,High,61,49,55,61,44,62,70,64,56,64,75,76,65,61,67,78,70,74,68,51,77,54,58,59,56,51,60,61,9,9,10,9,14
Anuar Peláez,64,Right,High,Medium,55,67,61,56,66,61,55,65,58,62,55,55,61,65,55,64,70,72,72,63,28,22,67,45,67,42,23,22,9,9,14,11,7
James Brophy,64,Left,High,Medium,60,51,42,59,40,63,52,54,57,61,82,86,80,57,69,56,61,84,66,50,58,54,57,58,47,57,57,56,8,10,9,7,6
Garland Gbellé,64,Right,High,High,49,51,62,66,39,64,48,42,63,66,68,66,57,63,67,55,78,87,66,45,59,64,61,62,62,65,57,52,12,10,14,9,13
Thomas Grøgaard,64,Left,High,Medium,62,35,50,60,58,61,59,41,54,60,76,71,77,61,77,53,50,66,66,35,58,60,60,61,60,59,62,60,15,9,12,16,9
Sebastián Britos,64,Right,Medium,Medium,16,19,15,29,20,17,16,14,24,18,27,32,35,57,33,40,59,42,66,18,20,19,20,18,26,20,11,16,65,54,53,72,65
Mustapha Carayol,64,Right,High,Low,60,53,20,60,26,66,55,62,52,62,80,81,78,61,74,70,52,59,63,65,36,28,60,62,55,22,22,17,7,14,11,16,16
Lucas Lissens,73,Right,Medium,Medium,43,21,66,61,23,46,28,29,63,64,66,69,67,54,62,42,72,55,67,27,70,64,24,39,31,56,66,64,15,14,13,10,6
Derik Gean Severino Lacerda,72,Right,Medium,Low,50,66,65,58,62,66,39,36,47,67,61,63,63,63,45,69,61,62,71,51,64,28,61,61,62,29,28,23,7,11,10,6,15
Tom Pearce,68,Left,High,Medium,63,46,56,60,39,62,64,55,58,60,68,71,70,60,61,64,70,64,63,59,57,61,54,56,37,60,63,61,9,5,9,8,7
Kenzo Goudmijn,76,Right,Medium,Low,58,50,49,69,53,71,60,50,65,66,79,76,85,57,79,58,58,49,34,42,65,57,52,67,52,54,57,59,13,6,13,9,8
Senne Lammens,75,Right,Medium,Medium,14,10,14,30,8,15,12,11,29,19,19,25,40,58,27,44,31,29,79,8,29,15,6,30,11,7,15,12,70,60,58,58,67
Hyun Yoo,64,Right,Medium,Medium,13,11,11,45,15,12,11,13,43,33,54,57,56,57,59,50,54,30,30,11,35,12,14,63,26,11,21,19,68,56,66,69,61
Joao Grimaldo,83,Right,Low,Low,55,64,35,65,55,66,48,68,64,68,71,73,62,59,65,66,53,55,51,68,45,33,59,61,65,44,30,33,10,10,6,5,7
Marco Pašalić,73,Left,High,Medium,60,58,41,62,53,63,63,60,48,60,78,74,79,59,82,62,56,70,57,64,42,32,60,62,48,31,30,34,9,8,13,14,9
Daniel Lorenzo Guerrero,76,Right,Medium,Medium,52,52,64,72,44,68,50,45,66,67,58,55,51,62,73,56,60,56,51,50,67,56,52,65,54,57,60,67,10,15,12,8,9
David Mendoza,64,Left,Low,Medium,55,32,59,56,29,56,45,29,58,57,53,53,56,67,64,35,62,64,74,35,65,68,49,40,36,56,67,69,8,6,11,16,14
Jin Woo Jeon,70,Right,High,Low,54,58,51,56,56,69,62,45,41,59,83,83,84,62,67,61,55,61,54,53,39,13,64,58,58,26,11,11,6,7,13,8,13
Jurich Carolina,69,Left,High,Medium,63,33,53,60,34,60,64,44,58,60,74,71,67,55,68,50,70,72,66,43,61,54,50,43,40,62,64,64,6,11,7,8,14
Jo Coppens,64,Left,Medium,Medium,10,11,11,26,20,17,16,11,22,25,43,42,38,57,47,47,63,33,62,17,24,15,9,30,36,12,13,12,66,60,62,60,67
Hyeong Jin Park,64,Left,High,Medium,51,53,60,62,44,57,67,38,55,60,70,75,71,58,63,65,57,53,72,60,61,62,56,56,50,64,67,61,10,6,10,9,10
Max Clark,65,Left,High,High,65,53,56,61,46,61,64,41,58,61,71,72,70,59,68,53,73,62,68,54,72,60,57,58,51,61,62,61,15,13,6,11,9
Diego Lázaro Fuoli,72,Right,Medium,Medium,13,6,15,28,8,9,13,15,23,14,32,28,34,57,38,49,52,20,53,11,20,7,8,42,11,8,13,11,63,62,65,62,66
Jong Ho Lee,64,Left,High,Medium,52,60,64,58,62,65,58,56,55,62,73,73,72,62,76,64,80,62,70,67,70,49,64,63,64,37,38,32,8,7,15,10,7
Brynjar Ingi Bjarnason,74,Right,Medium,Medium,23,20,62,58,25,27,41,43,56,56,68,71,49,59,42,42,77,61,76,19,57,62,20,49,38,63,66,64,9,12,7,8,6
Iker Bravo Solanilla,83,Right,High,Medium,42,67,68,54,52,62,48,54,43,65,68,69,66,57,63,66,73,56,60,62,45,18,61,55,60,20,17,17,6,6,7,6,15
Tahsin Hacımustafaoğlu,69,Left,Medium,Medium,56,67,61,66,68,62,61,53,63,65,72,79,72,52,61,74,76,68,81,68,66,20,65,59,68,41,61,48,5,10,10,6,11
Yann Boé-Kane,64,Right,High,High,55,44,64,63,33,57,40,45,62,60,56,52,65,58,61,62,78,70,76,45,67,64,57,55,48,61,66,65,6,10,11,9,9
Matt Penney,67,Left,High,Medium,67,58,54,61,59,65,62,66,59,63,75,71,73,61,85,65,61,65,51,58,57,55,61,56,49,53,63,61,14,13,13,12,15
Daniel Margush,68,Right,Medium,Medium,14,8,13,29,10,10,14,14,22,12,30,30,32,53,32,47,60,28,63,10,25,15,7,42,12,8,14,12,63,64,63,64,65
Ricki Lamie,64,Left,Low,Medium,58,26,67,58,27,57,36,27,50,58,53,55,57,54,55,42,70,72,77,24,66,62,30,35,51,62,64,61,8,15,9,6,14
Gonçalo Bento Soares Cardoso,72,Left,Low,Medium,25,24,64,55,28,44,30,31,36,51,48,48,41,62,39,41,71,55,75,28,71,61,29,28,40,61,67,65,10,7,14,14,7
Hans Nicolussi Caviglia,75,Right,High,Medium,52,44,57,73,51,67,56,48,71,65,71,63,59,62,68,71,57,61,48,53,58,45,63,63,49,49,59,57,8,10,7,10,12
Jasmin Burić,64,Right,Medium,Medium,11,13,14,23,15,11,13,18,24,22,22,27,41,59,38,44,62,22,54,13,26,21,15,43,15,19,12,13,64,63,58,64,63
Franz Pfanne,65,Right,Medium,Medium,28,39,60,59,55,52,36,38,55,54,52,62,58,61,51,65,78,82,78,43,78,65,43,48,40,62,67,66,10,11,13,12,6
Nouh Al Mousa,64,Right,Medium,Medium,60,53,48,65,30,65,55,57,66,65,47,53,67,58,64,56,75,78,69,59,53,60,58,66,37,60,63,60,12,15,12,9,11
Connor Randall,65,Right,High,Medium,63,44,46,63,58,64,54,36,62,62,68,65,49,58,57,46,42,61,68,54,67,56,52,54,56,63,65,64,13,6,9,6,12
Dan Kemp,69,Left,Medium,Medium,62,57,30,61,49,63,62,58,59,62,81,80,92,59,90,59,39,54,30,61,30,28,60,62,55,30,31,27,11,13,6,13,10
Simone Santoro,72,Right,Medium,Medium,58,54,59,72,54,62,60,55,64,73,74,80,74,58,72,64,63,53,56,59,67,57,57,62,60,58,68,61,15,10,9,7,10
Mario Kröpfl,64,Right,Medium,Medium,65,60,46,62,43,65,67,69,55,64,67,67,65,58,61,68,61,71,65,64,48,54,61,63,68,42,36,34,6,15,15,15,15
Matt Smith,64,Left,Medium,Medium,40,65,75,53,65,50,50,45,41,64,32,36,31,68,30,71,61,64,91,56,68,21,69,59,62,42,32,13,14,14,8,11,9
Adnan Ugur,75,Right,Medium,Medium,59,47,55,68,52,69,63,55,66,66,73,67,76,58,76,63,57,65,60,54,68,61,60,67,57,61,64,60,13,14,15,12,8
Peer Koopmeiners,76,Right,Medium,Medium,53,35,60,67,34,57,46,57,67,62,54,56,58,62,59,56,66,61,71,45,58,59,40,59,50,63,61,63,8,6,8,7,11
Omar Sijarić,73,Right,Medium,Medium,51,54,39,63,36,67,53,38,62,64,80,76,78,58,74,61,64,67,55,55,50,35,59,63,43,46,47,46,6,8,13,13,14
Liam van Gelderen,73,Right,Medium,Medium,56,44,61,54,39,60,41,51,59,58,72,69,56,62,66,50,60,63,65,48,60,61,49,45,41,59,63,64,6,12,9,8,12
Aleksa Pejić,70,Right,Medium,Medium,48,43,61,64,36,62,40,45,60,64,47,58,53,60,37,57,51,70,75,41,66,67,51,52,39,62,62,57,8,8,11,6,13
Brent Kallman,64,Right,Low,High,32,31,63,67,34,36,32,31,66,31,51,45,33,59,45,57,78,70,81,40,72,64,39,32,49,66,63,56,9,11,11,11,14
Maciej Wolski,67,Right,High,High,56,48,44,63,39,58,47,36,56,60,70,74,67,54,75,52,67,90,59,44,60,56,54,56,40,55,56,55,10,15,9,9,11
Christian Kinsombi,72,Right,Medium,Medium,60,46,35,63,49,69,46,38,49,63,82,75,81,55,80,48,71,71,58,38,39,31,53,59,40,29,30,34,9,14,13,14,7
Juan Mercado,69,Right,Medium,Medium,53,60,61,56,29,65,43,48,52,63,65,66,72,68,71,68,58,71,58,70,57,66,60,65,55,64,70,65,13,11,14,13,15
Damir Redzic,81,Right,Medium,Medium,35,69,52,56,58,68,53,51,48,66,85,81,87,60,78,63,51,61,52,63,35,26,58,54,67,28,14,13,18,18,16,21,18
Ilias Bronkhorst,67,Right,High,Medium,59,51,57,60,35,61,49,33,43,61,70,72,67,62,65,61,62,68,66,43,54,58,59,38,41,59,63,62,6,7,7,11,12
Taiyan Jin,64,Right,Medium,High,54,27,49,63,25,57,42,35,64,62,74,69,72,63,72,55,56,70,62,44,67,60,54,52,34,64,62,61,16,7,7,11,12
Min Hyeok Kim,64,Right,High,Medium,42,60,56,70,61,62,53,43,65,64,66,55,64,63,69,63,61,79,74,58,66,47,62,65,60,35,45,43,8,14,11,8,7
Kévin Appin,71,Right,High,Low,56,53,58,65,52,62,51,44,62,64,68,67,67,59,77,62,41,70,66,48,48,65,62,59,60,63,66,60,10,15,13,9,8
Shea Salinas,64,Right,High,High,66,57,49,65,55,64,66,55,59,63,70,70,67,58,72,62,43,57,58,54,58,59,60,60,50,59,59,55,9,13,8,8,9
Armando Araque,64,Right,High,Low,31,71,64,60,61,65,37,65,43,59,62,64,60,62,60,66,68,61,65,65,54,16,60,48,73,17,18,18,7,9,5,9,10
Lars Olden Larsen,70,Right,High,Medium,58,62,47,59,54,65,57,53,54,65,78,78,81,58,73,65,56,75,56,60,43,51,60,57,58,55,53,46,14,8,11,8,10
Raúl Moro Prescoli,80,Right,Medium,Medium,55,58,31,62,46,71,52,43,50,72,74,73,76,54,82,53,44,34,30,47,40,23,60,63,47,30,26,22,7,14,11,6,9
Shenchao Wang,64,Right,High,High,63,28,61,60,35,57,43,29,54,64,76,71,61,67,72,40,73,85,65,29,64,63,60,45,36,64,66,65,11,8,11,11,11
Marco Lund,68,Right,Medium,Medium,32,23,58,63,27,60,56,56,58,64,60,45,59,60,66,56,82,68,75,50,57,64,35,35,30,68,65,62,9,12,7,12,6
Leonardo Miguel Freijão Jasper,64,Right,Medium,Medium,57,38,69,65,22,24,30,42,57,55,52,38,59,69,75,62,57,64,61,53,59,72,35,41,50,68,69,56,15,15,18,15,15
Can Özkan,70,Right,Medium,Medium,56,32,54,64,41,59,44,39,60,62,74,69,70,57,70,63,64,73,80,41,68,58,49,59,49,60,65,62,11,8,13,10,11
Kélian Nsona,76,Right,Medium,Low,61,60,35,58,41,74,51,39,49,68,89,79,68,49,55,69,34,33,68,42,35,24,57,49,58,20,30,23,10,13,11,6,13
Daniel Luna,79,Left,High,Medium,39,58,40,60,43,64,41,55,55,66,71,69,64,59,63,46,58,60,34,55,50,26,70,70,52,30,36,43,10,10,10,14,8
Rafael Brand,64,Left,High,Medium,62,57,38,60,56,63,70,63,42,61,83,80,82,58,82,58,65,67,49,46,37,35,58,60,50,33,22,28,5,7,10,6,11
Halldor Stenevik,75,Right,Medium,High,63,55,49,61,48,64,59,41,48,65,79,76,76,59,69,54,56,76,59,50,65,44,60,60,49,46,49,46,6,12,8,5,9
Ioan Filip,64,Right,Low,High,46,36,58,65,29,52,36,37,60,58,34,48,49,63,51,48,66,52,75,35,71,63,38,61,45,65,65,62,6,6,16,7,15
Jordan Turnbull,64,Left,Medium,Medium,38,23,62,53,23,47,29,21,50,52,53,52,60,60,59,38,79,75,81,26,75,61,23,45,35,63,64,61,11,15,10,10,14
James Gomez,76,Right,Medium,Medium,39,28,61,56,35,46,32,28,50,57,66,71,72,60,69,55,80,65,80,28,65,60,40,39,35,58,64,62,6,12,15,9,12
Carlos Montoya,72,Right,Medium,High,26,17,61,65,22,20,26,23,60,60,57,63,51,60,65,37,73,55,70,16,58,66,25,34,37,65,62,62,9,12,14,7,14
Ramón Juan Ramírez,71,Right,Medium,Medium,12,9,10,27,8,9,12,14,23,11,24,27,33,59,44,45,57,16,42,8,25,8,5,28,17,6,10,10,61,62,60,65,66
El Hadji Dieye,75,Right,Medium,Medium,64,59,54,56,55,64,63,41,49,61,89,90,79,58,63,65,50,63,61,55,49,24,57,56,62,21,32,28,14,8,14,10,7
Pierrick Cros,64,Right,Medium,Medium,54,26,63,61,29,42,50,24,62,56,58,56,56,62,62,44,70,70,73,48,60,59,38,42,44,60,68,65,14,9,11,14,8
Erjon Hoxhallari,69,Left,Medium,Medium,55,31,55,53,29,52,34,20,44,51,73,71,65,58,63,55,72,65,79,32,70,62,27,31,38,64,68,63,7,6,9,14,13
Allan Linguet,71,Right,Medium,Medium,66,30,47,45,45,68,46,32,34,59,66,70,67,56,70,25,68,66,60,24,57,61,47,45,47,58,69,69,7,9,13,12,7
Francisco González Verjara,72,Right,Medium,High,34,21,55,64,30,40,28,26,53,52,44,53,41,59,45,41,70,65,78,25,77,55,28,28,40,60,68,65,10,6,7,13,11
Azzeddine Toufiqui,70,Left,Medium,Medium,57,55,51,66,51,72,58,45,63,67,68,71,78,60,80,59,58,54,52,53,56,45,57,64,49,52,45,47,7,6,7,13,6
Jair Tavares da Silva,64,Right,Medium,Medium,54,55,53,65,45,65,60,61,64,64,80,76,75,63,82,63,68,79,62,58,68,59,58,64,60,56,59,55,14,14,5,14,8
Mustafa Amini,64,Right,Medium,Medium,53,56,45,67,56,65,51,45,63,67,65,56,77,63,75,68,72,72,70,61,68,58,64,64,45,57,58,52,15,15,16,16,10
Daniel Queipo Menéndez,77,Right,High,Medium,61,60,41,63,54,67,47,49,55,68,76,77,74,50,78,56,55,57,42,50,40,24,55,56,64,27,32,29,14,8,11,6,14
Luis Annese,64,Right,High,Medium,55,72,65,61,63,65,55,52,49,61,63,64,70,61,67,67,64,70,62,68,33,26,55,51,68,22,23,22,15,6,15,15,8
Thabiso Monyane,75,Right,Medium,Medium,62,58,55,61,53,62,59,53,59,60,81,78,75,59,64,60,65,68,60,60,56,58,63,60,59,57,58,56,8,10,12,12,7
Toto Nsiala,64,Right,Medium,High,51,32,61,55,43,47,33,31,44,51,69,67,36,60,38,57,74,76,90,30,69,60,37,47,43,62,63,60,10,13,8,14,10
Álvaro Fernández Carreras,81,Left,High,Medium,65,50,52,64,42,65,65,45,57,62,67,73,75,62,66,67,48,69,61,50,54,56,64,62,43,55,59,52,6,7,11,8,14
Edison Penilla,67,Right,Medium,Medium,27,22,59,61,23,39,28,25,50,60,66,60,61,59,72,30,73,64,72,31,62,64,21,26,38,66,65,63,12,14,6,6,7
Koldo Obieta Alberdi,64,Right,Medium,Medium,37,69,75,57,56,48,38,43,40,62,44,45,54,59,50,69,71,56,86,62,45,21,70,56,68,16,15,15,12,7,13,8,9
Alexander Faltsetas,64,Right,Medium,High,63,47,64,66,55,58,63,64,60,65,53,47,51,69,64,67,83,75,76,56,80,67,59,62,54,64,66,68,6,9,10,9,10
Adnan Aganović,64,Right,Medium,High,65,57,60,68,54,64,67,62,65,66,62,54,66,61,70,64,66,64,62,56,73,32,64,68,52,38,48,43,7,5,5,14,7
Joe Pritchard,65,Right,High,High,62,60,52,63,53,65,62,60,57,63,75,72,78,59,81,63,54,64,58,66,59,57,57,64,54,58,59,56,8,6,9,10,11
Yasser Baldé,65,Right,Medium,Medium,34,32,64,37,22,29,27,21,35,43,55,54,51,56,47,35,73,76,77,21,62,65,21,25,35,63,70,63,12,13,5,6,14
Erling Knudtzon,64,Right,High,Medium,61,58,54,58,58,60,47,56,49,60,83,83,74,58,80,65,43,74,67,58,63,53,61,62,56,57,59,57,10,10,15,9,11
Kai Eisele,66,Right,Medium,Medium,8,7,9,16,5,4,13,13,19,11,20,18,39,52,21,47,40,29,68,7,31,13,3,38,12,10,12,9,68,61,62,62,68
Erik Engelhardt,67,Left,Medium,Medium,47,66,61,60,58,63,54,32,43,61,76,74,69,64,74,64,80,65,69,52,68,28,64,59,52,30,28,19,14,14,8,14,10
Filip Twardzik,64,Left,Medium,Medium,63,51,67,65,30,60,48,55,64,61,61,54,61,56,72,67,62,63,72,61,71,62,57,68,70,60,65,61,9,8,13,13,16
Sebastien Ibeagha,64,Right,Low,High,30,22,63,65,20,46,29,28,55,44,71,70,31,64,42,39,68,53,79,22,61,55,20,32,30,68,65,66,12,6,6,15,11
George Marsh,72,Right,Medium,High,57,53,52,63,44,60,52,43,62,61,67,61,65,60,68,60,73,78,60,48,70,63,55,61,49,64,62,61,7,14,9,5,10
Quint Jansen,64,Right,Medium,Medium,33,34,64,56,29,32,22,49,45,56,42,43,34,62,53,57,71,68,83,34,56,61,33,32,39,64,64,62,13,12,14,12,8
Luis Terán,66,Right,Medium,Medium,12,6,14,26,6,8,15,14,30,16,18,34,33,62,46,47,59,27,39,5,24,10,7,50,12,10,20,14,61,61,62,63,67
Germán Valera Karabinaite,77,Left,Medium,Medium,63,54,42,61,48,66,54,45,59,62,77,84,75,55,81,63,58,50,40,51,36,21,61,60,64,27,24,23,7,12,12,8,12
Matías Godoy,80,Right,High,Medium,62,65,59,59,50,67,58,49,46,66,74,72,64,60,67,66,58,59,66,55,41,36,64,50,68,20,22,28,10,6,10,10,6
Amankwah Forson,81,Left,High,Medium,58,52,38,57,48,75,64,46,52,66,87,85,85,52,87,58,50,60,36,51,37,38,56,53,48,26,40,33,7,9,8,10,9
Taïryk Arconte,78,Right,Medium,Medium,61,62,57,61,63,69,46,49,56,63,74,73,69,52,67,68,57,60,65,64,35,25,62,51,60,23,27,25,7,9,10,15,7
Boris Cespedes,67,Right,Medium,Medium,49,52,46,66,33,63,43,36,64,65,67,69,68,63,66,46,74,75,68,50,64,58,58,55,54,61,63,62,10,9,14,12,11
Christopher Telo,64,Right,Medium,Medium,60,30,37,62,46,61,64,61,58,62,66,70,70,59,71,57,74,65,57,61,65,61,50,56,49,61,58,60,8,11,15,7,7
Isak Dybvik Määttä,76,Left,High,Medium,60,54,54,58,38,62,54,50,51,63,80,79,73,59,74,54,59,79,58,49,56,56,61,58,43,58,56,53,5,13,8,11,14
N'Dri Philippe Koffi,78,Right,High,Low,39,67,61,61,61,65,52,41,49,62,75,73,59,57,62,68,62,56,61,60,29,14,63,60,69,22,20,17,7,13,11,9,5
Niklas Landgraf,67,Left,High,Medium,60,29,53,58,31,58,56,49,50,59,75,72,78,62,77,58,84,75,65,51,67,61,49,48,36,60,59,58,6,13,9,11,13
Jack Iredale,67,Left,Medium,Medium,61,33,59,57,31,58,52,57,46,57,75,72,62,62,42,53,83,73,72,46,78,59,59,49,50,60,63,60,10,6,10,11,11
Harvey White,78,Left,Medium,Medium,68,65,58,67,50,70,70,74,64,68,67,66,72,64,71,69,56,68,47,64,62,59,58,68,59,62,60,56,13,13,12,9,13
Mathias Kvistgaarden,75,Right,High,High,45,64,58,57,60,63,46,41,43,63,82,81,81,65,85,65,72,69,59,53,87,34,65,52,53,32,44,45,14,9,12,11,14
Luke Molyneux,68,Left,High,Low,59,58,53,58,55,63,56,49,56,64,83,82,79,58,74,59,34,75,56,65,42,30,60,58,59,34,31,29,5,10,13,8,11
Mohammed Qasem,65,Left,High,Medium,62,50,52,58,46,66,47,45,53,66,75,76,73,56,81,68,73,82,72,63,67,56,62,59,43,57,57,60,15,11,7,11,8
Tom Boere,64,Right,Medium,Low,43,63,72,59,64,58,55,57,44,59,64,69,62,58,62,71,82,73,79,60,68,18,62,54,78,40,20,19,12,14,9,7,7
Julius Ertlthaler,67,Right,Medium,Medium,61,54,43,63,48,64,54,42,60,62,70,69,83,56,93,58,91,68,32,51,36,28,65,67,54,41,42,46,13,7,6,10,6
Felix Strauss,74,Right,Medium,Medium,45,33,58,63,29,58,44,37,54,62,66,70,62,63,47,62,64,73,76,38,73,61,35,60,38,59,63,60,7,8,14,10,11
Alessandro Iacobucci,64,Right,Medium,Medium,15,13,12,27,14,18,16,18,38,26,44,43,47,65,43,48,66,34,55,15,34,19,11,24,23,20,19,14,63,62,64,62,65
Sonny Laiton,76,Right,Medium,Medium,14,8,13,17,9,14,12,12,17,15,50,44,64,67,51,45,72,42,71,5,34,24,4,60,19,8,11,14,62,60,60,63,66
